Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
CT3,NO,1/1/2017 0:00,3.5,ug m-3,R
CT3,NO,1/1/2017 1:00,3.6,ug m-3,R
CT3,NO,1/1/2017 2:00,2.2,ug m-3,R
CT3,NO,1/1/2017 3:00,2.1,ug m-3,R
CT3,NO,1/1/2017 4:00,3.3,ug m-3,R
CT3,NO,1/1/2017 5:00,2.1,ug m-3,R
CT3,NO,1/1/2017 6:00,4.4,ug m-3,R
CT3,NO,1/1/2017 7:00,5.1,ug m-3,R
CT3,NO,1/1/2017 8:00,7.4,ug m-3,R
CT3,NO,1/1/2017 9:00,6.5,ug m-3,R
CT3,NO,1/1/2017 10:00,4.6,ug m-3,R
CT3,NO,1/1/2017 11:00,3.7,ug m-3,R
CT3,NO,1/1/2017 12:00,3.3,ug m-3,R
CT3,NO,1/1/2017 13:00,3,ug m-3,R
CT3,NO,1/1/2017 14:00,3.5,ug m-3,R
CT3,NO,1/1/2017 15:00,3.7,ug m-3,R
CT3,NO,1/1/2017 16:00,3.5,ug m-3,R
CT3,NO,1/1/2017 17:00,3.4,ug m-3,R
CT3,NO,1/1/2017 18:00,3.5,ug m-3,R
CT3,NO,1/1/2017 19:00,2.4,ug m-3,R
CT3,NO,1/1/2017 20:00,2.5,ug m-3,R
CT3,NO,1/1/2017 21:00,4,ug m-3,R
CT3,NO,1/1/2017 22:00,4,ug m-3,R
CT3,NO,1/1/2017 23:00,3.8,ug m-3,R
CT3,NO,2/1/2017 0:00,5.2,ug m-3,R
CT3,NO,2/1/2017 1:00,2.3,ug m-3,R
CT3,NO,2/1/2017 2:00,2.3,ug m-3,R
CT3,NO,2/1/2017 3:00,3.2,ug m-3,R
CT3,NO,2/1/2017 4:00,5.4,ug m-3,R
CT3,NO,2/1/2017 5:00,6.6,ug m-3,R
CT3,NO,2/1/2017 6:00,4.7,ug m-3,R
CT3,NO,2/1/2017 7:00,6.2,ug m-3,R
CT3,NO,2/1/2017 8:00,4,ug m-3,R
CT3,NO,2/1/2017 9:00,6.1,ug m-3,R
CT3,NO,2/1/2017 10:00,6.4,ug m-3,R
CT3,NO,2/1/2017 11:00,6.6,ug m-3,R
CT3,NO,2/1/2017 12:00,7.1,ug m-3,R
CT3,NO,2/1/2017 13:00,7,ug m-3,R
CT3,NO,2/1/2017 14:00,7.7,ug m-3,R
CT3,NO,2/1/2017 15:00,7.3,ug m-3,R
CT3,NO,2/1/2017 16:00,8.9,ug m-3,R
CT3,NO,2/1/2017 17:00,17.6,ug m-3,R
CT3,NO,2/1/2017 18:00,29.6,ug m-3,R
CT3,NO,2/1/2017 19:00,23.3,ug m-3,R
CT3,NO,2/1/2017 20:00,19.8,ug m-3,R
CT3,NO,2/1/2017 21:00,24.2,ug m-3,R
CT3,NO,2/1/2017 22:00,26.2,ug m-3,R
CT3,NO,2/1/2017 23:00,47.1,ug m-3,R
CT3,NO,3/1/2017 0:00,48.6,ug m-3,R
CT3,NO,3/1/2017 1:00,37.8,ug m-3,R
CT3,NO,3/1/2017 2:00,38,ug m-3,R
CT3,NO,3/1/2017 3:00,34.1,ug m-3,R
CT3,NO,3/1/2017 4:00,20.5,ug m-3,R
CT3,NO,3/1/2017 5:00,13.4,ug m-3,R
CT3,NO,3/1/2017 6:00,21.5,ug m-3,R
CT3,NO,3/1/2017 7:00,42.1,ug m-3,R
CT3,NO,3/1/2017 8:00,65.3,ug m-3,R
CT3,NO,3/1/2017 9:00,77.4,ug m-3,R
CT3,NO,3/1/2017 10:00,85.4,ug m-3,R
CT3,NO,3/1/2017 11:00,60.7,ug m-3,R
CT3,NO,3/1/2017 12:00,42.9,ug m-3,R
CT3,NO,3/1/2017 13:00,36.2,ug m-3,R
CT3,NO,3/1/2017 14:00,33,ug m-3,R
CT3,NO,3/1/2017 15:00,13.5,ug m-3,R
CT3,NO,3/1/2017 16:00,17.6,ug m-3,R
CT3,NO,3/1/2017 17:00,23.7,ug m-3,R
CT3,NO,3/1/2017 18:00,28.3,ug m-3,R
CT3,NO,3/1/2017 19:00,33.4,ug m-3,R
CT3,NO,3/1/2017 20:00,17.6,ug m-3,R
CT3,NO,3/1/2017 21:00,11.6,ug m-3,R
CT3,NO,3/1/2017 22:00,9.8,ug m-3,R
CT3,NO,3/1/2017 23:00,7.4,ug m-3,R
CT3,NO,4/1/2017 0:00,5.3,ug m-3,R
CT3,NO,4/1/2017 1:00,3.5,ug m-3,R
CT3,NO,4/1/2017 2:00,3.6,ug m-3,R
CT3,NO,4/1/2017 3:00,4.1,ug m-3,R
CT3,NO,4/1/2017 4:00,5.5,ug m-3,R
CT3,NO,4/1/2017 5:00,10,ug m-3,R
CT3,NO,4/1/2017 6:00,27.9,ug m-3,R
CT3,NO,4/1/2017 7:00,28.8,ug m-3,R
CT3,NO,4/1/2017 8:00,39.8,ug m-3,R
CT3,NO,4/1/2017 9:00,36.4,ug m-3,R
CT3,NO,4/1/2017 10:00,36.8,ug m-3,R
CT3,NO,4/1/2017 11:00,24.6,ug m-3,R
CT3,NO,4/1/2017 12:00,,ug m-3,R
CT3,NO,4/1/2017 13:00,10.3,ug m-3,R
CT3,NO,4/1/2017 14:00,8.7,ug m-3,R
CT3,NO,4/1/2017 15:00,8.1,ug m-3,R
CT3,NO,4/1/2017 16:00,9.7,ug m-3,R
CT3,NO,4/1/2017 17:00,14,ug m-3,R
CT3,NO,4/1/2017 18:00,17.1,ug m-3,R
CT3,NO,4/1/2017 19:00,18.4,ug m-3,R
CT3,NO,4/1/2017 20:00,18.2,ug m-3,R
CT3,NO,4/1/2017 21:00,16.5,ug m-3,R
CT3,NO,4/1/2017 22:00,16.4,ug m-3,R
CT3,NO,4/1/2017 23:00,14.8,ug m-3,R
CT3,NO,5/1/2017 0:00,10.4,ug m-3,R
CT3,NO,5/1/2017 1:00,6.5,ug m-3,R
CT3,NO,5/1/2017 2:00,9.7,ug m-3,R
CT3,NO,5/1/2017 3:00,6.4,ug m-3,R
CT3,NO,5/1/2017 4:00,10.4,ug m-3,R
CT3,NO,5/1/2017 5:00,13.2,ug m-3,R
CT3,NO,5/1/2017 6:00,22.5,ug m-3,R
CT3,NO,5/1/2017 7:00,39.6,ug m-3,R
CT3,NO,5/1/2017 8:00,34.2,ug m-3,R
CT3,NO,5/1/2017 9:00,55,ug m-3,R
CT3,NO,5/1/2017 10:00,49,ug m-3,R
CT3,NO,5/1/2017 11:00,52.9,ug m-3,R
CT3,NO,5/1/2017 12:00,77.8,ug m-3,R
CT3,NO,5/1/2017 13:00,133.5,ug m-3,R
CT3,NO,5/1/2017 14:00,44.4,ug m-3,R
CT3,NO,5/1/2017 15:00,31.7,ug m-3,R
CT3,NO,5/1/2017 16:00,51.6,ug m-3,R
CT3,NO,5/1/2017 17:00,76.3,ug m-3,R
CT3,NO,5/1/2017 18:00,115.6,ug m-3,R
CT3,NO,5/1/2017 19:00,149.5,ug m-3,R
CT3,NO,5/1/2017 20:00,215.2,ug m-3,R
CT3,NO,5/1/2017 21:00,169.10001,ug m-3,R
CT3,NO,5/1/2017 22:00,142.5,ug m-3,R
CT3,NO,5/1/2017 23:00,115.7,ug m-3,R
